Rank,Method,R²,MAE (cuft),Time (s),Best Params
1,Halving Random,0.9251354182858696,37.887554502209184,350.6962876319885,"{'lr': 0.0005, 'dropout': 0.14}"
2,Random Search,0.8946846572781281,43.22758409190444,370.09707140922546,"{'lr': 0.0005, 'dropout': 0.21}"
3,Halving Grid,0.8901962082096446,43.95096991778873,286.3825500011444,"{'lr': 0.0005, 'dropout': 0.2}"
4,Grid Search,0.8707767884244972,49.31545574272595,287.8556983470917,"{'lr': 0.0005, 'dropout': 0.3}"
5,Optuna TPE,0.8431638628559339,58.3980250905138,369.0465693473816,"{'lr': 0.00048504150978203464, 'dropout': 0.035326568108687645}"
