Rank,Model,MAE Mean,MAE Std,R² Mean,R² Std,Acc Mean (%)
1,Attention Fusion,43.51669907002808,6.490949287169414,0.8794676559544445,0.024390017133395624,87.94676559544445
2,ConvNeXt Tiny Fusion,44.856427809191004,14.064746295608021,0.8780807319450918,0.04841939260765335,87.80807319450918
3,EfficientNet-B0 Fusion,45.99458556119426,5.723292051296594,0.868307866077126,0.03709340284186613,86.8307866077126
4,EfficientNet-B1 Fusion,48.33164402622684,9.076422870894646,0.852097253765056,0.028702624481879362,85.2097253765056
5,EfficientNet-B3 Fusion,50.9265610245641,8.36867106039583,0.8426995312250103,0.023155995134721875,84.26995312250102
6,MobileNetV2 Fusion,56.61804372133395,9.332986674351883,0.8145629993644903,0.04380549331474138,81.45629993644903
7,MobileNetV3 Fusion,56.45578563358201,6.8304677083592695,0.8108207903371772,0.03853572852153575,81.08207903371772
8,ResNet50 Fusion,58.6466619207798,7.111825259861438,0.796473066887328,0.03057215169717091,79.6473066887328
9,RegNetY-400MF Fusion,59.871696195299116,13.89003072729025,0.7793643747028434,0.05026238038978957,77.93643747028433
10,ResNet18 Fusion,66.54761512962247,11.013049131457363,0.7319663483833475,0.050881591808496565,73.19663483833475
11,DenseNet121 Fusion,69.2597350575745,19.26243855991355,0.7265711023192637,0.0799885186222636,72.65711023192637
12,Gated Fusion,72.70861136210081,15.824262177728269,0.6822785657954424,0.07504352961275276,68.22785657954424
